"url","title","year","poster","poster_alt","percent_fresh","audience_score","average_rating","reviews_counted","critics_consensus","rating","genre","director","writer","studio","runtime","cast","description"
"https://www.rottentomatoes.com/m/professor_marston_and_the_wonder_women","Professor Marston & The Wonder Women","(2017)","https://resizing.flixster.com/IcrIezjrEmOubsdJfS-NT9mseSY=/206x305/v1.bTsxMjUwMjQ0NDtqOzE3NjA0OzEyMDA7MzYwMDs1NTUw","Professor Marston & The Wonder Women","87","79%","7.2/10","130","winds a lasso of cinematic truth around a fascinating fact-based tale with strong performances from its three stars.","R (for strong sexual content including brief graphic images, and language)","Drama","Angela Robinson","Angela Robinson","Annapurna Pictures","108 minutes","Luke Evans 
as Dr. William Moulton Marston 
 
 
 
 Rebecca Hall 
as Elizabeth Marston 
 
 
 
 Bella Heathcote 
as Olive Byrne 
 
 
 
 Connie Britton 
as Josette Frank 
 
 
 
 J.J. Feild 
as Charles Guyette 
 
 
 
 Maggie Castle 
as Dorothy Roubicek 
 
 
 
 Chris Conroy 
as Brandt 
 
 
 
 Alexa Havins 
as Molly Stewart 
 
 
 
 Christopher Paul Richards 
as Donn Marston 
 
 
 
 Allie Gallerani 
as Sara 
 
 
 
 Monica Giordano 
as Mary 
 
 
 
 Oliver Platt 
as M.C. Gaines 
 
 
 
 Sharon Kubo 
as Kate 
 
 
 
 Chris Gombos 
as Fred Steward 
 
 
 
 Forry Buckingham 
as Doctor 
 
 
 
 Stacy Fischer 
as Linda 
 
 
 
 Gabrielle Nail 
as Student 
 
 
 
 Frank Ridley 
as Manager 
 
 
 
 Ken Cheeseman 
as Dean Liddy 
 
 
 
 Tom Kemp 
as Harry Peter 
 
 
 
 Sebastian Wood 
as Teen Son 
 
 
 
 Nicholas Dias 
as Young Son 
 
 
 
 Lucinda Clare 
as Theater Performer 
 
 Show More Cast","In a superhero origin tale unlike any other, the film is the incredible true story of what inspired Harvard psychologist Dr. William Moulton Marston to create the iconic Wonder Woman character in the 1940's. While Marston's feminist superhero was criticized by censors for her 'sexual perversity', he was keeping a secret that could have destroyed him. Marston's muses for the Wonder Woman character were his wife Elizabeth Marston and their lover Olive Byrne, two empowered women who defied convention: working with Marston on human behavior research -- while building a hidden life with him that rivaled the greatest of superhero disguises."
"https://www.rottentomatoes.com/m/professor_marston_and_the_wonder_women","Professor Marston & The Wonder Women","(2017)","https://resizing.flixster.com/IcrIezjrEmOubsdJfS-NT9mseSY=/206x305/v1.bTsxMjUwMjQ0NDtqOzE3NjA0OzEyMDA7MzYwMDs1NTUw","Professor Marston & The Wonder Women","87","79%","7.2/10","130","winds a lasso of cinematic truth around a fascinating fact-based tale with strong performances from its three stars.","R (for strong sexual content including brief graphic images, and language)","Drama","Angela Robinson","Angela Robinson","Annapurna Pictures","108 minutes","Luke Evans 
as Dr. William Moulton Marston 
 
 
 
 Rebecca Hall 
as Elizabeth Marston 
 
 
 
 Bella Heathcote 
as Olive Byrne 
 
 
 
 Connie Britton 
as Josette Frank 
 
 
 
 J.J. Feild 
as Charles Guyette 
 
 
 
 Maggie Castle 
as Dorothy Roubicek 
 
 
 
 Chris Conroy 
as Brandt 
 
 
 
 Alexa Havins 
as Molly Stewart 
 
 
 
 Christopher Paul Richards 
as Donn Marston 
 
 
 
 Allie Gallerani 
as Sara 
 
 
 
 Monica Giordano 
as Mary 
 
 
 
 Oliver Platt 
as M.C. Gaines 
 
 
 
 Sharon Kubo 
as Kate 
 
 
 
 Chris Gombos 
as Fred Steward 
 
 
 
 Forry Buckingham 
as Doctor 
 
 
 
 Stacy Fischer 
as Linda 
 
 
 
 Gabrielle Nail 
as Student 
 
 
 
 Frank Ridley 
as Manager 
 
 
 
 Ken Cheeseman 
as Dean Liddy 
 
 
 
 Tom Kemp 
as Harry Peter 
 
 
 
 Sebastian Wood 
as Teen Son 
 
 
 
 Nicholas Dias 
as Young Son 
 
 
 
 Lucinda Clare 
as Theater Performer 
 
 Show More Cast","In a superhero origin tale unlike any other, the film is the incredible true story of what inspired Harvard psychologist Dr. William Moulton Marston to create the iconic Wonder Woman character in the 1940's. While Marston's feminist superhero was criticized by censors for her 'sexual perversity', he was keeping a secret that could have destroyed him. Marston's muses for the Wonder Woman character were his wife Elizabeth Marston and their lover Olive Byrne, two empowered women who defied convention: working with Marston on human behavior research -- while building a hidden life with him that rivaled the greatest of superhero disguises."
"https://www.rottentomatoes.com/m/None","","","https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif","None","","","","","","NR","G.M. Whiting","G.M. Whiting","","","","Israel Adam 
as Landen's Friend #2 
 
 
 
 Brock Brazda 
as Brock 
 
 
 
 Landen James 
as Landen 
 
 
 
 Elijah Meyer 
as Landen's Friend 
 
 
 
 Emma Meyer 
as Brock's Girlfriend 
 
 
 
 Gabriel Michael 
as Psychopath","Two boys throw a party while their parents are away in L.A., the next morning one of the boys is gone. The other boy then goes into a roller coaster of emotions, and sets fourth on a deadly mission to find his missing brother, which to someone else, may be a twisted game of life and death."
"https://www.rottentomatoes.com/m/dixieland","Dixieland","(2015)","https://resizing.flixster.com/yHKpCAzKAG1Co9b991OAlVJrkOw=/206x305/v1.bTsxMTI1Mzc4NDtqOzE3NjgwOzEyMDA7NTc0Ozg1MQ","Dixieland","11","42%","4.8/10","1","","NR","Mystery & Suspense","Hank Bedford","Hank Bedford","","","Chris Zylka 
as Kermit 
 
 
 
 Riley Keough 
as Rachel 
 
 
 
 Faith Hill 
as Arletta 
 
 
 
 Spencer Rocco Lofranco 
as Billy 
 
 
 
 RJ Mitte 
as CJ 
 
 
 
 Brad Carter 
as Larry Pretty 
 
 
 
 Steve Earle 
as Uncle Randy 
 
 
 
 Davis Cannada 
as Clay 
 
 
 
 Pedro Anaya Perez 
as Flavor 
 
 
 
 John Clofine 
as Young Kermit 
 
 
 
 Rachel Drayke 
as Waitress 
 
 
 
 James W. Evermore 
as Restless Redneck Tex 
 
 
 
 Sergio Figueroa 
as Jorge 
 
 
 
 James Evermore 
as Tex 
 
 
 
 Mick Foley 
as Himself 
 
 
 
 Carl Fritscher 
as Jackson 
 
 
 
 Fabian Moreno 
as T-Rex 
 
 
 
 Hans Marrero 
as Hector 
 
 
 
 Luis Hernández 
as Knucklehead #1 
 
 
 
 Jamie Jordan 
as Mama 
 
 
 
 Alexa Rohde 
as Ashley 
 
 
 
 Clint Hedgepeth 
as Gil 
 
 
 
 Mario Tolliver 
as Cop 
 
 
 
 Corey Jantzen 
as DJ Corey 
 
 
 
 Alex Calhoon 
as Bobbie 
 
 
 
 Katie Shurden 
as Katie 
 
 
 
 Bo Powell 
as Bouncer 
 
 
 
 Shy Pilgreen 
as Mercedes 
 
 
 
 John Read 
as Middle-Aged Man 
 
 
 
 Natasha Renfrow 
as Chicken Shack Employee 
 
 
 
 Jimmie Nichols 
as Rodeo Clown 
 
 
 
 Karen Cooper 
as Interviewee 
 
 
 
 Tom Parker 
as Interviewee 
 
 
 
 Anthony Washington 
as Interviewee 
 
 Show More Cast","Featuring explosive chemistry between rising stars Chris Zylka (The Leftovers) and Riley Keough (Mad Max: Fury Road) and impressive supporting performances from music legends Faith Hill and Steve Earle, Dixieland is an intoxicating portrait of life and love on the margins. Fresh out of prison, Kermit (Zylka), a mostly good kid mixed up with local drug dealers, returns home to his rural Mississippi trailer park. As he struggles to keep his nose clean, he falls for Rachel (Keough), his sultry neighbor who's turned to dancing in a club to support her sick mother. Determined to overcome their inauspicious circumstances, the star-crossed lovers make a desperate, last-ditch effort to escape their dead-end town-but soon find themselves ensnared in a cycle of crime."
"https://www.rottentomatoes.com/m/the_driftless_area","","","https://resizing.flixster.com/MzqF_mFr5_LrFjaeLJb09qUL9B4=/206x305/v1.bTsxMTU0OTQ4NTtqOzE3NjgzOzEyMDA7NDIxOzU5Ng","The Driftless Area","","27%","","","","R","Drama","Zachary Sluser","Zachary Sluser; Tom Drury","","","Anton Yelchin 
as Pierre 
 
 
 
 Zooey Deschanel 
as Stella 
 
 
 
 John Hawkes 
as Shane 
 
 
 
 Frank Langella 
as Tim Geer 
 
 
 
 Alia Shawkat 
as Carrie 
 
 
 
 Ciarán Hinds 
as Ned 
 
 
 
 Aubrey Plaza 
as Jean 
 
 
 
 Benjamin Rogers 
as Keith 
 
 
 
 Primo Allon 
as Lyle 
 
 
 
 Gary Hetherington 
as Reverend John Morris 
 
 
 
 Lucia Frangione 
as Luanne 
 
 
 
 Elika Portnoy 
as The Tragic Woman 
 
 
 
 Amitai Marmorstein 
as Donald Thomas 
 
 
 
 Philip Granger 
as Herbicide Store Owner 
 
 
 
 Duncan Ollerenshaw 
as Card Player 
 
 
 
 Eric Keenleyside 
as Mr. Bromley 
 
 
 
 Samantha Ferris 
as Mr. Bromley 
 
 
 
 John Innes 
as Pierre's Father 
 
 
 
 Linda Darlow 
as Pierre's Mother 
 
 
 
 Aaron Douglas 
as Fireman 
 
 
 
 Christine Willes 
as Concerned Woman 
 
 
 
 Frank C. Turner 
as Salesman 
 
 
 
 Jeremy Raymond 
as Brother #1 
 
 
 
 Nikolai Witschl 
as Brother #2 
 
 
 
 Libby Osler 
as Carrie's Friend 2 
 
 
 
 Jesse Haddock 
as Partygoer 
 
 Show More Cast","Pierre (Anton Yelchin) returns to his hometown after the death of his parents and falls under the spell of the enchanting, mysterious Stella (Zooey Deschanel). As their relationship deepens, Pierre finds himself in a dangerous situation with a volatile criminal (John Hawkes) who abruptly altered the course of Stella's life. Also starring Aubrey Plaza, Frank Langella, Alia Shawkat and Ciaran Hinds"
"https://www.rottentomatoes.com/m/the_benefactor","The Benefactor","(2016)","https://resizing.flixster.com/fCprzJ_p1_0FOXgUytlV0SKWCho=/206x305/v1.bTsxMTQ2NjEyMztqOzE3NjgyOzEyMDA7ODI3NTsxMjE3NQ","The Benefactor","25","23%","4.2/10","13","has Richard Gere and Dakota Fanning, but no clear idea of what to do with either of them, resulting in a drama that never comes anywhere near its intriguing potential.","NR","Drama","Andrew Renzi","Andrew Renzi","","","Richard Gere 
as Franny 
 
 
 
 Theo James 
as Luke 
 
 
 
 Dakota Fanning 
as Olivia 
 
 
 
 Clarke Peters 
as Dr. Romano 
 
 
 
 Cheryl Hines 
as Mia 
 
 
 
 Dylan Baker 
as Bobby 
 
 
 
 Brian Anthony Wilson 
as Jesse 
 
 
 
 Tibor Feldman 
as Dr. Sam 
 
 
 
 Dennisha Pratt 
as Sharon 
 
 
 
 Roy James Wilson 
as Charlie 
 
 
 
 Justin Goncalves 
 
 
 
 Matt Myers 
as Bathroom Attendant 
 
 
 
 Edward G. Rendell 
 
 
 
 Lyssa Lee Roberts 
 
 
 
 Erica Cho 
 
 
 
 Jayson Ward Williams 
 
 
 
 Erica Lynne Marszalek 
as Sexy Shot Girl 
 
 
 
 Andrea Havens 
as Franny's Wealthy Friend 
 
 Show More Cast","A newly married couple (Dakota Fanning and Theo James) are forced to navigate the all-consuming interest of a powerful, mysterious, and possessive philanthropist (brilliantly played by Richard Gere)."
"https://www.rottentomatoes.com/m/honeytrap","Honeytrap","(2016)","https://resizing.flixster.com/fro1HYuOfKc8UwBHv6vJ-RChPUQ=/206x305/v1.bTsxMjIyNDkxMDtqOzE3NjAxOzEyMDA7NTAwOzczMQ","Honeytrap","88","49%","6.6/10","7","","NR","Drama; Mystery & Suspense; Romance","Rebecca Johnson","Rebecca Johnson","","","Jessica Sula 
as Layla 
 
 
 
 Lucien Laviscount 
 
 
 
 Ntonga Mwanza 
 
 
 
 Naomi Ryan 
 
 
 
 Danielle Vitalis 
 
 
 
 Lauren Johns 
 
 
 
 Savannah Gordon-Liburd 
 
 
 
 Tosin Cole 
 
 Show More Cast","HONEYTRAP is the harrowing rite-of-passage drama inspired by a real-life crime of love, betrayal and murder in 2009. Featuring an international cast, the movie stars Jessica Sula (Skins, ABC Family's Recovery Road) Lucien Laviscount (Fox's Scream Queens), Naomi Ryan (GUARDIANS OF THE GALAXY) and Ntonga Mwanza (LEAVE TO REMAIN). Girlhood and gang culture collide in HONEYTRAP as 15-year old Layla (Sula) contends with bullying at a new school by transforming herself inside and out. The teen's compulsive journey for love and acceptance soon becomes fatal in this cautionary tale based on headline news adapted by writer/director Rebecca Johnson."
"https://www.rottentomatoes.com/m/in_my_fathers_house","In My Father's House","(2015)","https://resizing.flixster.com/QWL0-MrB-HhpVOKPNscnG_hPTEw=/206x305/v1.bTsxMTIwMjM2NztqOzE3Njc5OzEyMDA7NjgwOzEwMDc","In My Father's House","92","39%","7.5/10","12","","R (for some language)","Documentary","Anne Sundberg; Ricki Stern","Anne Sundberg; Ricki Stern; Pax Wassermann","","","Che ""Rhymefest"" Smith 
 
 
 
 Brian Tillman 
 
 
 
 Brian Tillman 
 
 
 
 Donnie Smith 
 
 
 
 Donnie Smith","This film explores identity and legacy in the African-American family, as Grammy award-winning rapper Che 'Rhymefest' Smith and his long-lost father reconnect and try to build a new future in Chicago's turbulent South Side. Himself a child of a broken home, Che hasn't seen his father, Brian, in over 20 years, and presumes him dead. But after buying his father's childhood home, Che sets out to find him, and learns that he is now a homeless, alcoholic living only several blocks away. The film offers a probing take on memory and identity in a family two generations removed from slavery as it tracks Che and Brian's shared journey to create a new legacy for themselves, their community, and the next generation of family."
"https://www.rottentomatoes.com/m/indian_point","Indian Point","(2016)","https://resizing.flixster.com/1KbEsWNu0ftkKRT7gyQNwviveRE=/206x305/v1.bTsxMjUyMDI5NDtqOzE3NjA0OzEyMDA7MTE1NTsxNTQw","Indian Point","88","","6.8/10","7","","NR","Documentary","Ivy Meeropol","","","","Marilyn Elie 
 
 
 
 Gregory Jaczko 
 
 
 
 Phillip Musegaas 
 
 
 
 Brian Vangor 
 
 
 
 Roger Witherspoon","Indian Point Nuclear Power Plant looms just 35 miles from Times Square. With over 50 million people living in close proximity to the aging facility, its continued operation has the support of the plant's operators and the NRC -- Nuclear Regulatory Commission -- yet has stoked a great deal of controversy in the surrounding community, including a vocal anti-nuclear contingent concerned that what happened at Japan's Fukushima nuclear plant could happen here. In the brewing fight for clean energy and the catastrophic possibilities of government complacency, director Ivy Meeropol presents a balanced argument about the issues surrounding nuclear energy and offers a startling reality check for our uncertain nuclear future."
"https://www.rottentomatoes.com/m/roseanne_for_president","Roseanne for President!","(2016)","https://resizing.flixster.com/Pi3i6_vNoeQLQK1Qt92HGwifXQ0=/206x305/v1.bTsxMjAyNzcwNTtqOzE3NTk5OzEyMDA7NjQ5Ozk2MA","Roseanne for President!","60","37%","6.2/10","6","","NR","Comedy; Documentary","Eric Weinrib","","","","Tom Smothers 
 
 
 
 Cindy Sheehan 
 
 
 
 John Argent 
 
 
 
 Johnny Argent 
 
 
 
 Rosie O'Donnell 
 
 
 
 Geraldine Barrera Deocampo 
 
 
 
 Geraldine Barr 
 
 
 
 Helen Barr 
 
 
 
 Sandra Bernhard 
 
 
 
 Farheen Hakeem 
 
 
 
 Cynthia McKinney 
 
 
 
 Michael Moore 
 
 
 
 Jennifer Pentland 
 
 
 
 Ben-David Barr 
 
 
 
 Jill Stein 
 
 Show More Cast","Follow comedy legend Roseanne Barr as she embarks on a wild, hilarious, and impassioned campaign for the highest office in the land. It's 2012 and Barr, fed up with corporate influence in politics, takes matters into her own hands when she launches a third party presidential bid founded on grassroots activism. Hitting the campaign trail, the sarcastic, opinionated, and outspoken Barr makes for a candidate unlike any other as she brings her message to the people. Featuring appearances from Michael Moore, Sandra Bernhard, Rosie O'Donnell, and others close to Barr, Roseanne for President! is both a rousing David vs. Goliath tale and a revealing portrait of a cultural icon."
"https://www.rottentomatoes.com/m/killing_them_safely_2015","Killing Them Safely (Tom Swift And His Electric Rifle)","(2015)","https://resizing.flixster.com/kGikjDKT2J9NoaqrVGhFbyTdCNw=/206x305/v1.bTsxMTIwMzQ5NDtqOzE3Njc5OzEyMDA7MTUzNjsyMDQ4","Killing Them Safely (Tom Swift And His Electric Rifle)","90","53%","6.7/10","9","","NR","Documentary","Nick Berardini","Nick Berardini","","","Tom Smith 
 
 
 
 Rick Smith","This documentary examines Taser International, the company responsible for the worldwide sale of Tasers to law enforcement, and explores whether the device's safety record is at odds with its reputation as a nonlethal tool for the police. Directed by Nick Berardini."
"https://www.rottentomatoes.com/m/the_wannabe","","","https://resizing.flixster.com/beuP_mcTD--OO8ELgwORkrS3gCQ=/206x305/v1.bTsxMTIwMzQ3OTtqOzE3Njc5OzEyMDA7MzAwMDs0MzMz","The Wannabe","38","36%","3.5/10","3","","R (for drug use, language, some sexuality and violence)","Drama","Nick Sandow","Nick Sandow","","","Vincent Piazza 
as Thomas 
 
 
 
 Patricia Arquette 
as Rose 
 
 
 
 Michael Imperioli 
as Alphonse 
 
 
 
 Nick Sandow 
as Anthony 
 
 
 
 John Buscemi 
as Sausage Vendor 
 
 
 
 David Zayas 
as Pablo Guzman 
 
 
 
 Vincenzo Amato 
as Richie 
 
 
 
 Domenick Lombardozzi 
as Mickey 
 
 
 
 Mike Starr 
as Jerry 
 
 
 
 Dario Cipani 
as Kid with Sparkler 
 
 
 
 Doug E. Doug 
as The Twin 
 
 
 
 Larry Eudene 
as Assistant DA 
 
 
 
 Stephanie Bertoni 
as Nail Salon Girl 
 
 
 
 Adriana DeMeo 
as Annie 
 
 
 
 Chris ""The Eagle"" Cama 
as Sallyboy 
 
 
 
 Slaine Jenkins 
as Bruce Cutler 
 
 
 
 Joseph Siravo 
as John Gotti 
 
 
 
 Angela Jeanneau 
as Eric Roberts' girlfriend 
 
 
 
 Neal Huff 
as Judge Glasser 
 
 
 
 Nicholas Belleas 
as Stunt Performer 
 
 
 
 Anna Kuchma 
as Principal Performer 
 
 
 
 Mark Vincent 
as Eddie Lino 
 
 
 
 Daniel Sauli 
as Curtis Sliwa 
 
 
 
 Mario Macaluso 
as Whitey 
 
 
 
 Lawrence Cioppa 
as Card Player #1 
 
 
 
 Christine Cornell 
as Christine 
 
 
 
 Duccio Fabbri 
as Cesare Staderini 
 
 
 
 Jimmy Martinex 
as Bouncer 
 
 
 
 Michael Gasparro 
as Newsstand Vendor 
 
 
 
 Kenneth McCoy 
as Bartender 
 
 
 
 Jay Bulger 
as Eric Roberts 
 
 
 
 Mark Lotito 
as Prosecutor Maloney 
 
 
 
 Stephen O'Reilly 
as Photographer 
 
 
 
 Diane Martella 
as Ms. Duva 
 
 
 
 John McCabe 
as Coffee Shop Goon 
 
 
 
 Arthur J. Nascarella 
as Chester 
 
 
 
 Anthony Pizzuto 
as Big Guy 
 
 
 
 Robert Rossi 
as Interview Kid #1 
 
 
 
 Tuffy Questell 
as PR Cab Driver 
 
 
 
 Jeanine Ramirez 
as Reporter 
 
 
 
 Salvatore Rossi 
as Interview Kid #2 
 
 
 
 Tony Ray Rossi 
as Bouncer #2 
 
 
 
 Stan Carp 
as Oxygen Mask 
 
 
 
 Roland Sands 
as Duckman 
 
 
 
 John Sialiano 
as Social Club Member 
 
 
 
 John Ventimiglia 
as Arthur 
 
 
 
 Enrico Tinelli 
as Waiter 
 
 
 
 Eddie Lino 
as Mark Vincent 
 
 Show More Cast","Obsessed with mob culture, and desperate to fit in, Thomas sets out to fix the 1992 trial of John Gotti. He believes if the plan is executed, it will put him at the center of all that he idolizes. The plot is foiled, setting off events worthy of mob lore. The Wannabe intertwines real people and true events, past and present, with fantasy."
"https://www.rottentomatoes.com/m/one_more_time_2016","One More Time (When I Live My Life Over Again)","(2016)","https://resizing.flixster.com/3td1L6JcQUbunH_Cd4XHZNoBOa0=/206x305/v1.bTsxMTY5NDU4NDtqOzE3NTk1OzEyMDA7NTQ5OzgxMw","One More Time (When I Live My Life Over Again)","50","31%","6.4/10","13","","NR","Comedy; Drama; Musical & Performing Arts","Robert Edwards","Robert Edwards","","","Christopher Walken 
as Paul 
 
 
 
 Amber Heard 
as Jude 
 
 
 
 Hamish Linklater 
as Tim 
 
 
 
 Kelli Garner 
as Corinne 
 
 
 
 Oliver Platt 
as Alan 
 
 
 
 Ann Magnuson 
as Lucille 
 
 
 
 Henry Kelemen 
as David 
 
 
 
 Sandra Berrios 
as Lourdes 
 
 
 
 Gavin McInnes 
as Record Producer 
 
 
 
 John Ellison Conlee 
as Josh/Jake 
 
 
 
 Danny Fischer 
as One-Night Stand 
 
 
 
 Rosharra Francis 
as Singer #1 
 
 
 
 Bree Sharp 
as Singer #2 
 
 
 
 Julia Garrison 
as Singer #3 
 
 
 
 Jonathan Wu 
as Cab Driver 
 
 
 
 Bobby Lurie 
as Recording Engineer 
 
 
 
 Veronika Dominczyk 
as Waitress 
 
 
 
 Michael DeNola 
as Open Mic Encee 
 
 
 
 Joe McGinty 
as Open Mic Performer 
 
 
 
 Jordan Lage 
as Therapist 
 
 
 
 David O'Brien 
as Concert Announcer 
 
 
 
 Charlotte Rydberg 
as Sedgwick's Assistant 
 
 
 
 Mollie Goldstein 
as Therapist's Wife 
 
 
 
 Jim Forbes 
as TV Narrator 
 
 Show More Cast","Beautiful aspiring rock star Jude (Heard) is stuck in a rut - relegated to recording commercial jingles and lost in a series of one night stands. When she is evicted from her Brooklyn apartment, she is forced to move into the Hamptons home of her wealthy - and selfish - father Paul Lombard (Walken), an over-the-hill, Sinatra-esque crooner angling for a musical comeback. As the two reunite, Jude is forced to confront her problems, including troubled relationships with her father and overachieving sister (Garner), as well as her wobbly career and faltering love life. As Jude and Paul butt heads, they unexpectedly find themselves on a journey that may redefine their lives."
