"url","title","year","poster","poster_alt","percent_fresh","audience_score","average_rating","reviews_counted","critics_consensus","genre","rating","director","writer","studio","runtime","cast","New column","description"
"https://www.rottentomatoes.com/m/driving_with_selvi","","","https://resizing.flixster.com/Zs3JWa9QTgA6SVcvjuxWiqtfqkw=/206x305/v1.bTsxMjIyMzc0MztqOzE3NjAxOzEyMDA7MTU5OTsyMTMy","Driving With Selvi","100","","7.9/10","8","","Art House & International; Documentary","NR","Elisa Paloschi","","","","Selvi,","","The life of a young Indian woman is chronicled in this documentary, which begins in 2004 at the shelter where 18-year-old former child bride Selvi finds herself after fleeing an abusive marriage. In time, she learns to drive and becomes a cabbie in the city of Karnataka-the first female taxi driver in South India. Her life flowers in other areas, too: She remarries-to another driver-and becomes a mother."
"https://www.rottentomatoes.com/m/right_now_wrong_then","Right Now, Wrong Then","(2016)","https://resizing.flixster.com/Vp_DWwbwcJ_rlvyDtrh4BKo4zFI=/206x305/v1.bTsxMTgxMDYxMDtqOzE3NTk2OzEyMDA7NTYwOzgyOQ","Right Now, Wrong Then","93","62%","7.5/10","40","offers diverging perspectives on a chance meeting -- and thought-provoking observations on human interactions in general.","Drama","NR","Hong Sang-soo","Hong Sang-soo","","","Jae-yeong Jeong 
as Ham Chunsu 
 
 
 
 Min-hee Kim 
as Yoon Heejung 
 
 
 
 Ko Ah-sung 
as Yum Bora 
 
 
 
 Yeo-jeong Yoon 
as Gang Duksoo","","Quite by accident, a film director arrives in town a day early. With time to kill before his lecture the next day, he stops by a restored, old palace and meets a fledgling artist. She's never seen any of his films, but knows he's famous. They talk. And together, they go to her workshop to look at her paintings, have Sushi and Soju. More conversation follows, and drinks, and then an awkward get-together with friends where all sorts of secrets are revealed. All the while, they may or may not be falling for each other. Then, quite unexpectedly, we begin again, but now things appear somewhat different."
"https://www.rottentomatoes.com/m/land_of_mine","Land of Mine (Under Sandet)","(2017)","https://resizing.flixster.com/6BKBtX3w7ZNCahgLYIt8WOsBb18=/206x305/v1.bTsxMTIwMzYwOTtqOzE3Njc5OzEyMDA7Mjg0OzQwNQ","Land of Mine (Under Sandet)","91","88%","7.4/10","98","uses an oft-forgotten chapter from the aftermath of World War II to tell a hard-hitting story whose period setting belies its timeless observations about bloodshed and forgiveness.","Art House & International; Drama","R (for violence, some grisly images, and language)","Martin Zandvliet","Martin Zandvliet","Sony Pictures Classics","110 minutes","Roland Møller 
as Sgt. Carl Rasmussen 
 
 
 
 Mikkel Boe Følsgaard 
as Lt. Ebbe Jensen 
 
 
 
 Louis Hofmann 
as Sebastian Schumann 
 
 
 
 Joel Basman 
as Helmut Morbach 
 
 
 
 Emil Belton 
as Ernst Lessner 
 
 
 
 Osakar Belton 
as Werner Lessner","","In the aftermath of World War II, a group of surrendered German soldiers are ordered by Allied forces to remove their own landmines from the coast of Denmark. Directed by Martin Zandvliet, Land of Mine made its world premiere at the 2015 Toronto International Film Festival."
"https://www.rottentomatoes.com/m/bang_gang","Bang Gang (A Modern Love Story)","(2016)","https://resizing.flixster.com/sZLdckbFTi2fIMdvAgwiV0iN2K8=/206x305/v1.bTsxMTg3ODg0NDtqOzE3NTk3OzEyMDA7NDA1MDs2MDAw","Bang Gang (A Modern Love Story)","66","29%","6/10","32","","Drama","NR","Eva Husson","Eva Husson","","","Finnegan Oldfield 
as Alex 
 
 
 
 Marilyn Lima 
as George 
 
 
 
 Daisy Broom 
as Laetitia 
 
 
 
 Lorenzo Lefèbvre 
as Gabriel 
 
 
 
 Fred Hotier 
as Nikita 
 
 
 
 Manuel Husson 
 
 
 
 Olivia Lancelot 
 
 
 
 Raphael Porcheron 
 
 
 
 Tatiana Werner 
 
 
 
 Olivier Lefebvre 
 
 
 
 Yolande Carsin 
 
 
 
 Eva Husson 
 
 
 
 Alexandre Perrier 
 
 
 
 Gaspard-Andreas Perrier 
 
 
 
 Patricia Husson 
 
 Show More Cast","","George, a pretty teen girl, falls in love with Alex. To get his attention, she initiates a game with their friends, discovering, testing and pushing the limits of their sexuality. When the nature of their activities is revealed, each of them deals with the scandal in radically different ways. Faced with the implosion of their value systems, they move on by reassessing their priorities, finding love and their real desires."
"https://www.rottentomatoes.com/m/looking_for_grace_2015","","","https://resizing.flixster.com/_wIaK5JvPDr1xV8iVV8gcUjVU14=/206x305/v1.bTsxMTMzNTQyNDtqOzE3NjgxOzEyMDA7MjM2NDszNDI1","Looking for Grace","44","22%","6.1/10","16","","Art House & International; Drama","NR (for thematic elements, some sexuality and brief strong language)","Sue Brooks","Sue Brooks","","","Richard Roxburgh 
 
 
 
 Radha Mitchell 
 
 
 
 Odessa Young 
 
 
 
 Terry Norris 
 
 
 
 Julia Blake 
 
 
 
 Tasma Walton 
 
 
 
 Myles Pollard 
 
 Show More Cast","","The long-awaited new film from Sue Brooks, the acclaimed and multi award-winning director of Japanese Story and Road To Nhill, LOOKING FOR GRACE is an intimate, funny and profoundly moving story about the complexities of family life. When rebellious 16-year-old Grace (rising star Odessa Young) takes off, her exasperated mum and dad (the superb Radha Mitchell and Richard Roxburgh) enlist the help of a close-to-retirement detective, and begin the long drive from Perth out to the West Australian wheatbelt to try to find her. On the journey, the two must confront the realities of their changing relationship to one another, and to their daughter. Wry, intriguing and poignant, Brooks' unflinching reflection on the disruptive effects of both adolescence and middle age boasts her trademark sense of character, acerbic humour and eye for the hypnotic rhythms of Australia's regional landscapes. Innovatively structured to incrementally reveal each character's journey - and secrets - from numerous vantage points, LOOKING FOR GRACE is ultimately a beautiful, bold and unmistakably Australian story that reminds us that life is precious, and can change in the blink of an eye.; More"
"https://www.rottentomatoes.com/m/ayanda","","","https://resizing.flixster.com/gKYa1b8glUp0c9_ePrgu6f0LCLQ=/206x305/v1.bTsxMTQ3OTcxODtqOzE3NjgyOzEyMDA7Mjg0OzQwNQ","Ayanda (Ayanda and the Mechanic)","83","","6/10","6","","Art House & International; Drama; Romance","NR","Sara Blecher","Trish Malone","","","Jafta Mamabolo 
 
 
 
 Fulu Moguvhani 
 
 
 
 Nthati Moshesh 
 
 
 
 Kenneth Nkosi 
 
 
 
 O.C. Ukeje 
 
 
 
 Thomas Gumede 
 
 
 
 Sihle Xaba 
 
 
 
 Vanessa Cooke 
 
 Show More Cast","","After tragedy strikes, a young woman begins a journey of self-discovery as she struggles to save her father's car repair shop along with her memory of him. AYANDA is a coming-of-age story from South African writer/director Sara Blecher that takes us into a vibrant Johannesburg community alive with love and humor, risk and reward, tragedy and triumph."
"https://www.rottentomatoes.com/m/golden_kingdom","Golden Kingdom","(2016)","https://resizing.flixster.com/pOwQQFOUqS_SwLUcgZj4OQ51j-g=/206x305/v1.bTsxMjAyNzEwNDtqOzE3NTk5OzEyMDA7NTc1Ozg1MQ","Golden Kingdom","100","70%","7.5/10","7","","Drama","NR","Brian Perkins","Brian Perkins","","104 minutes","Shine Htet Zaw 
 
 
 
 Ko Yin Saw Ri 
 
 
 
 Ko Yin Than Maung 
 
 
 
 Ko Yin Maung Sein 
 
 
 
 Sayadaw U Zab Ti ka 
 
 
 
 U Kyar 
 
 
 
 Ma Nan Yunn 
 
 
 
 Thien Ngwe 
 
 Show More Cast","","Golden Kingdom is a narrative feature film about four orphan boys, novice monks living in a Buddhist monastery in a remote part of Northeast Burma. The head monk departs on a long journey from which he may never return, leaving the boys alone in the middle of the forest. Once the boys are on their own, strange, magical occurrences begin to pass. Orphan Witazara realizes he must protect the three other boys throughout this series of bizarre events, which threaten to unravel the fabric of the young monks' reality."
"https://www.rottentomatoes.com/m/kaili_blues","","","https://resizing.flixster.com/lDSfSfFRS7_956ECyHno_4MYErs=/206x305/v1.bTsxMTcwODEwMDtqOzE3NTk1OzEyMDA7Mjg0OzQwNQ","Kaili Blues (Lu Bian Ye Can)","96","84%","7.8/10","24","","Art House & International; Drama; Mystery & Suspense","NR","Gan Bi","Gan Bi","","","Yongzhong Chen 
 
 
 
 Yue Guo 
 
 
 
 Linyan Liu 
 
 
 
 Feiyang Luo 
 
 
 
 Lixun Xie","","A stunning, dreamlike debut, KAILI BLUES is about a country doctor's search for an abandoned child that takes him to a mysterious place where past, present and future become one."
"https://www.rottentomatoes.com/m/ming_of_harlem_twenty_one_storeys_in_the_air","","","https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif","Ming Of Harlem: Twenty One Storeys In The Air","29","","4.3/10","7","","Documentary","NR","Phillip Warnell","Jean-Luc Nancy","","","Antoine Yates 
 
 
 
 Rajiv 
 
 
 
 Brianna (VII)","","A documentary exploring secret lives, behavior and extreme levels of human-beast intimacy and communication, focusing on the 'only in New York' story of Antoine Yates and his cohabitation in a Harlem high-rise with Ming, a five-hundred-pound tiger and Al, a seven-foot alligator, combined with filmic observation of predators in domesticated geographies. - See more at: http://www.sodapictures.com/?post_type=film&p=2727#sthash.eGoxModa.dpuf"
"https://www.rottentomatoes.com/m/standing_tall_2016","Standing Tall (La Tête Haute)","(2016)","https://resizing.flixster.com/Jl31uWiOlzvdQzn9wFy5a35_C28=/206x305/v1.bTsxMTc2MTY3NjtqOzE3NTk2OzEyMDA7MjcyMzszOTYw","Standing Tall (La Tête Haute)","80","77%","6.5/10","35","","Art House & International; Drama","R (for some language and some sexual content)","Emmanuelle Bercot","Emmanuelle Bercot; Marcia Romano","","","Rod Paradot 
as Malony 
 
 
 
 Catherine Deneuve 
as La juge 
 
 
 
 Benoît Magimel 
as Yann 
 
 
 
 Sara Forestier 
as Séverine 
 
 
 
 Raoul Fernandez 
 
 
 
 Aurore Broutin 
 
 
 
 Ludovic Berthillot 
 
 
 
 Diane Rouxel 
as Tess 
 
 
 
 Anne Suarez 
 
 
 
 Christophe Meynet 
 
 
 
 Martin Loizillon 
 
 
 
 Catherine Salée 
 
 
 
 Michel Masiero 
 
 
 
 Marie Piemontese 
 
 Show More Cast","","Abandoned by his mother at the age of 6, Malony is constantly in and out of juvenile court. An adoptive family grows around this young delinquent: Florence, a children's magistrate nearing retirement, and Yann, a caseworker and himself the survivor of a very difficult childhood. Together they follow the boy's journey and try unfailingly to save him. Then Malony is sent to a stricter educational center, where he meets Tess, a very special young girl who will show him that there are reasons for hope."
